,NewsOrg,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
39,BBC,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",Fri Mar 23 19:07:00 +0000 2018,0.0,0.0,0.0,1.0
40,BBC,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. 🎤🤐 https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,Fri Mar 23 18:03:04 +0000 2018,-0.296,0.0,0.136,0.864
41,BBC,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ️⚽️✨🚴🎉… https://t.co/tgbpC76heP",Fri Mar 23 17:33:03 +0000 2018,0.0,0.0,0.0,1.0
42,BBC,"Your week, as told by @louistheroux. 📆😂
https://t.co/Ae6bDBpIBW",Fri Mar 23 17:02:01 +0000 2018,0.0,0.0,0.0,1.0
43,BBC,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",Fri Mar 23 16:27:45 +0000 2018,0.0,0.0,0.0,1.0
44,BBC,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",Fri Mar 23 16:00:12 +0000 2018,0.7783,0.286,0.0,0.714
45,BBC,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs 🎤

@sportrelie…",Fri Mar 23 14:33:40 +0000 2018,-0.4479,0.0,0.172,0.828
46,BBC,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. 🌿📸… https://t.co/2gq0t9FnIR,Fri Mar 23 14:03:08 +0000 2018,0.5994,0.187,0.0,0.813
47,BBC,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",Fri Mar 23 14:00:02 +0000 2018,-0.4767,0.0,0.129,0.871
48,BBC,Spring is here! 🌱🌸🥦 Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,Fri Mar 23 13:33:04 +0000 2018,0.6114,0.2,0.0,0.8
49,BBC,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",Fri Mar 23 13:03:02 +0000 2018,0.4939,0.259,0.0,0.741
50,BBC,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,Fri Mar 23 11:42:55 +0000 2018,0.0,0.0,0.0,1.0
51,BBC,RT @BBCRadio2: 👻 “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,Fri Mar 23 11:42:51 +0000 2018,-0.2006,0.107,0.139,0.754
52,BBC,RT @BBCTwo: Our entire weekend plans. 😴👇 #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,Fri Mar 23 11:42:48 +0000 2018,0.0,0.0,0.0,1.0
53,BBC,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",Fri Mar 23 11:42:43 +0000 2018,0.3612,0.128,0.0,0.872
54,BBC,☕️🍰Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,Fri Mar 23 11:30:05 +0000 2018,0.2648,0.103,0.0,0.897
55,BBC,"Friday night is CELEBRITY FIGHT NIGHT! 🥊🥊

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",Fri Mar 23 10:33:01 +0000 2018,-0.6016,0.0,0.187,0.813
56,BBC,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. 😊 🎉… https://t.co/KrNoB0qaqC",Fri Mar 23 10:03:03 +0000 2018,0.8555,0.343,0.0,0.657
57,BBC,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",Fri Mar 23 09:30:03 +0000 2018,0.765,0.417,0.0,0.583
58,BBC,"Meet the first polar bear cub to be born in the UK in 25 years. 😍
https://t.co/njq1r6eONE",Fri Mar 23 08:33:01 +0000 2018,0.0,0.0,0.0,1.0
59,BBC,"RT @BBCOne: All hail queen Kat! 🙌👑 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t",Thu Mar 22 21:39:27 +0000 2018,0.1511,0.15,0.0,0.85
60,BBC,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc",Thu Mar 22 21:30:01 +0000 2018,0.2732,0.116,0.0,0.884
61,BBC,🖋 The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,Thu Mar 22 21:20:05 +0000 2018,0.0,0.0,0.0,1.0
62,BBC,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL",Thu Mar 22 20:30:01 +0000 2018,-0.6486,0.0,0.202,0.798
63,BBC,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. 🐾… https://t.co/0hDQP6X1wA,Thu Mar 22 19:04:04 +0000 2018,0.0,0.0,0.0,1.0
64,BBC,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",Thu Mar 22 18:30:09 +0000 2018,0.0516,0.216,0.159,0.625
